"IBAN/BBAN","Munt","BIC","Volgnr","Datum","Rentedatum","Bedrag","Saldo na trn","Tegenrekening IBAN/BBAN","Naam tegenpartij","Naam uiteindelijke partij","Naam initi�rende partij","BIC tegenpartij","Code","Batch ID","Transactiereferentie","Machtigingskenmerk","Incassant ID","Betalingskenmerk","Omschrijving-1","Omschrijving-2","Omschrijving-3","Reden retour","Oorspr bedrag","Oorspr munt","Koers"
"NL18RABO0123459876","EUR","RABONL2U","000000000000007040","2022-01-01","2022-01-02","+1221,49","+1221,49","NL98INGB0003856625","counterparty1","","","RABONL2U","cb","","","","","","salary","","","","","",""
"NL18RABO0123459876","EUR","RABONL2U","000000000000007040","2022-01-02","2022-01-02","-10,49","+1211,00","","counterparty2","","","RABONL2U","cb","","","","","","Pinnen some shop","","","","","",""
"NL18RABO0123459876","EUR","RABONL2U","000000000000007040","2022-01-02","2022-01-02","-20,00","+1191,00","","counterparty2","","","RABONL2U","cb","","","","","","Pinnen some shop","","","","","",""
"NL18RABO0123459876","EUR","RABONL2U","000000000000007040","2022-01-03","2022-01-03","-100,00","+1091,00","","counterparty2","","","RABONL2U","cb","","","","","","More pinnen","","","","","",""
"NL18RABO0123459876","EUR","RABONL2U","000000000000007040","2022-01-04","2022-01-04","+150,00","+1241,00","NL98INGB0003856626","counterparty1","","","RABONL2U","cb","","","","","","zorgtoeslag","","","","","",""
"NL18RABO0123459876","EUR","RABONL2U","000000000000007040","2022-01-05","2022-01-05","+500,00","+1741,00","NL98INGB0003856626","counterparty1","","","RABONL2U","cb","","","","","","huurtoeslag","","","","","",""
"NL18RABO0123459876","EUR","RABONL2U","000000000000007040","2022-01-05","2022-01-05","-400,00","+1341,00","NL98INGB0003856627","counterparty1","","","RABONL2U","cb","","","","","","Rent","","","","","",""
"NL18RABO0123459876","EUR","RABONL2U","000000000000007040","2022-01-06","2022-01-06","-300,00","+1041,00","NL98INGB0003856628","counterparty1","","","RABONL2U","cb","","","","","","Energy","","","","","",""
"NL18RABO0123459876","EUR","RABONL2U","000000000000007040","2022-01-06","2022-01-06","-10,00","+1031,00","","counterparty2","","","RABONL2U","cb","","","","","","Pinnen some shop","","","","","",""
"NL18RABO0123459876","EUR","RABONL2U","000000000000007040","2022-01-07","2022-01-07","-70,00","-1061,00","","counterparty3","","","RABONL2U","cb","","","","","","Pinnen next shop","","","","","",""
"NL18RABO0123459876","EUR","RABONL2U","000000000000007040","2022-01-08","2022-01-08","-800,00","-261,00","","electronics shop","","","RABONL2U","cb","","","","","","Pinnen","","","","","",""
"NL18RABO0123459876","EUR","RABONL2U","000000000000007040","2022-01-08","2022-01-08","-5,00","+256,00","","shop","","","RABONL2U","cb","","","","","","Pinnen","","","","","",""
"NL18RABO0123459876","EUR","RABONL2U","000000000000007040","2022-01-08","2022-01-08","-3,00","+253,00","","shop","","","RABONL2U","cb","","","","","","Pinnen","","","","","",""
